gamma=[ 0.9,0.95,0.99]
lr=[0.002, 0.001, 0.0005, 0.0001]

Episode 1 Step 14: Training Loss nan, Return 9.0
Episode 2 Step 26: Training Loss nan, Return 9.0
Episode 3 Step 18: Training Loss nan, Return 10.0
Episode 4 Step 15: Training Loss nan, Return 10.0
Episode 5 Step 11: Training Loss nan, Return 10.0
Episode 6 Step 19: Training Loss nan, Return 9.0
Episode 7 Step 20: Training Loss nan, Return 8.0
Episode 8 Step 8: Training Loss nan, Return 10.0
Episode 9 Step 11: Training Loss nan, Return 9.0
Episode 10 Step 13: Training Loss nan, Return 9.0
Episode 11 Step 10: Training Loss nan, Return 9.0
Episode 12 Step 17: Training Loss nan, Return 10.0
Episode 13 Step 9: Training Loss nan, Return 10.0
Episode 14 Step 11: Training Loss nan, Return 9.0
Episode 15 Step 17: Training Loss nan, Return 9.0
Episode 16 Step 16: Training Loss nan, Return 9.0
Episode 17 Step 19: Training Loss nan, Return 9.0
D:\assignment4\DQN-CartPole-Cartpole\main.py:74: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at C:\actions-runner\_work\pytorch\pytorch\pytorch\torch\csrc\autograd\generated\python_variable_methods.cpp:837.)
  loss = torch.mean(torch.tensor(losses))
Episode 179 Step 15: Training Loss 0.04289815574884415, Return 14.0
Episode 180 Step 13: Training Loss 0.04453863203525543, Return 9.0
Episode 181 Step 16: Training Loss 0.046278972178697586, Return 15.0
Episode 182 Step 17: Training Loss 0.04695139452815056, Return 14.0
Episode 183 Step 18: Training Loss 0.045102979987859726, Return 18.0
Episode 184 Step 14: Training Loss 0.04278407245874405, Return 13.0
Episode 185 Step 14: Training Loss 0.0461641326546669, Return 11.0
Episode 186 Step 11: Training Loss 0.04492712393403053, Return 16.0
Episode 187 Step 20: Training Loss 0.04839804396033287, Return 14.0
Episode 188 Step 21: Training Loss 0.04353287070989609, Return 9.0
Episode 189 Step 12: Training Loss 0.04804885759949684, Return 14.0
Episode 190 Step 17: Training Loss 0.04699063301086426, Return 8.0
Episode 191 Step 17: Training Loss 0.04766497015953064, Return 10.0
Episode 192 Step 10: Training Loss 0.04613316059112549, Return 18.0
Episode 193 Step 23: Training Loss 0.0475027933716774, Return 20.0
Episode 194 Step 12: Training Loss 0.052105862647295, Return 17.0
Episode 195 Step 22: Training Loss 0.04916401952505112, Return 9.0
Episode 196 Step 13: Training Loss 0.04726670682430267, Return 20.0
Episode 197 Step 18: Training Loss 0.04726065322756767, Return 18.0
Episode 198 Step 17: Training Loss 0.05205163732171059, Return 13.0
Episode 199 Step 10: Training Loss 0.05046354979276657, Return 11.0
Episode 200 Step 19: Training Loss 0.04979081079363823, Return 21.0
Episode 201 Step 18: Training Loss 0.05127711594104767, Return 9.0
Episode 202 Step 11: Training Loss 0.05191633850336075, Return 17.0
Episode 203 Step 42: Training Loss 0.049917254596948624, Return 11.0
Episode 204 Step 13: Training Loss 0.051617007702589035, Return 14.0
Episode 205 Step 12: Training Loss 0.05664621666073799, Return 25.0
Episode 206 Step 11: Training Loss 0.0545530691742897, Return 9.0
Episode 207 Step 10: Training Loss 0.0523083433508873, Return 13.0
Episode 208 Step 108: Training Loss 0.05269454047083855, Return 12.0
Episode 209 Step 13: Training Loss 0.051016077399253845, Return 12.0
Episode 210 Step 16: Training Loss 0.048252467066049576, Return 14.0
Episode 211 Step 11: Training Loss 0.05220673233270645, Return 12.0
Episode 212 Step 13: Training Loss 0.05166303738951683, Return 9.0
Episode 213 Step 13: Training Loss 0.049935780465602875, Return 11.0
Episode 214 Step 9: Training Loss 0.04944076016545296, Return 12.0
Episode 215 Step 11: Training Loss 0.05046796426177025, Return 32.0
Episode 216 Step 13: Training Loss 0.047305088490247726, Return 10.0
Episode 217 Step 13: Training Loss 0.04952255263924599, Return 35.0
Episode 218 Step 13: Training Loss 0.051419906318187714, Return 12.0
Episode 219 Step 11: Training Loss 0.052842676639556885, Return 33.0
Episode 220 Step 24: Training Loss 0.05427831411361694, Return 11.0
Episode 221 Step 12: Training Loss 0.05255114659667015, Return 9.0
Episode 222 Step 8: Training Loss 0.056131426244974136, Return 10.0
Episode 223 Step 13: Training Loss 0.05380696803331375, Return 10.0
Episode 224 Step 11: Training Loss 0.05210175737738609, Return 13.0
Episode 225 Step 31: Training Loss 0.055088408291339874, Return 11.0
Episode 226 Step 11: Training Loss 0.05344495549798012, Return 9.0
Episode 227 Step 13: Training Loss 0.05539724975824356, Return 13.0
Episode 228 Step 25: Training Loss 0.05755231902003288, Return 12.0
Episode 229 Step 12: Training Loss 0.05902380868792534, Return 10.0
Episode 230 Step 10: Training Loss 0.0606674924492836, Return 12.0
Episode 231 Step 8: Training Loss 0.05768337473273277, Return 11.0
Episode 232 Step 17: Training Loss 0.05866823345422745, Return 13.0
Episode 233 Step 25: Training Loss 0.055798646062612534, Return 12.0
Episode 234 Step 13: Training Loss 0.052658531814813614, Return 29.0
Episode 235 Step 12: Training Loss 0.054746806621551514, Return 32.0
Episode 236 Step 31: Training Loss 0.06064543128013611, Return 32.0
Episode 237 Step 24: Training Loss 0.0583391897380352, Return 11.0
Episode 238 Step 11: Training Loss 0.06300681084394455, Return 9.0
Episode 239 Step 9: Training Loss 0.056492388248443604, Return 10.0
Episode 240 Step 29: Training Loss 0.0600571371614933, Return 26.0
Episode 241 Step 29: Training Loss 0.06216352432966232, Return 22.0
Episode 242 Step 13: Training Loss 0.05875060334801674, Return 30.0
Episode 243 Step 12: Training Loss 0.05511843040585518, Return 9.0
Episode 244 Step 9: Training Loss 0.06543613970279694, Return 26.0
Episode 245 Step 15: Training Loss 0.06312752515077591, Return 26.0
Episode 246 Step 24: Training Loss 0.06114634871482849, Return 25.0
Episode 247 Step 27: Training Loss 0.05785995349287987, Return 24.0
Episode 248 Step 21: Training Loss 0.05373729020357132, Return 28.0
Episode 249 Step 25: Training Loss 0.06198614463210106, Return 21.0
Episode 250 Step 27: Training Loss 0.06206999346613884, Return 12.0
Episode 251 Step 27: Training Loss 0.060484629124403, Return 22.0
Episode 252 Step 10: Training Loss 0.06141272932291031, Return 21.0
Episode 253 Step 11: Training Loss 0.06157241761684418, Return 21.0
Episode 254 Step 22: Training Loss 0.06071457639336586, Return 22.0
Episode 255 Step 24: Training Loss 0.0640886127948761, Return 24.0
Episode 256 Step 13: Training Loss 0.06513012945652008, Return 24.0
Episode 257 Step 25: Training Loss 0.06384067237377167, Return 24.0
Episode 258 Step 11: Training Loss 0.0555887445807457, Return 24.0
Episode 259 Step 13: Training Loss 0.06055281311273575, Return 13.0
Episode 260 Step 24: Training Loss 0.06216661259531975, Return 27.0
Episode 261 Step 23: Training Loss 0.0572497583925724, Return 24.0
Episode 262 Step 24: Training Loss 0.0626758486032486, Return 22.0
Episode 263 Step 26: Training Loss 0.06475348025560379, Return 23.0
Episode 264 Step 13: Training Loss 0.057626888155937195, Return 26.0
Episode 265 Step 13: Training Loss 0.06268371641635895, Return 12.0
Episode 266 Step 25: Training Loss 0.05626958981156349, Return 25.0
Episode 267 Step 22: Training Loss 0.06459555774927139, Return 22.0
Episode 268 Step 23: Training Loss 0.0613994337618351, Return 23.0
Episode 269 Step 13: Training Loss 0.06215076148509979, Return 15.0
Episode 270 Step 17: Training Loss 0.060424644500017166, Return 25.0
Episode 271 Step 26: Training Loss 0.06175056844949722, Return 26.0
Episode 272 Step 24: Training Loss 0.06402545422315598, Return 25.0
Episode 273 Step 21: Training Loss 0.06369256973266602, Return 22.0
Episode 274 Step 22: Training Loss 0.06234953552484512, Return 25.0
Episode 275 Step 24: Training Loss 0.06045578047633171, Return 10.0
Episode 276 Step 9: Training Loss 0.05878527835011482, Return 25.0
Episode 277 Step 23: Training Loss 0.05378706008195877, Return 23.0
Episode 278 Step 16: Training Loss 0.060610104352235794, Return 23.0
Episode 279 Step 23: Training Loss 0.06081400811672211, Return 24.0
Episode 280 Step 14: Training Loss 0.05662432685494423, Return 26.0
Episode 281 Step 15: Training Loss 0.051224373281002045, Return 27.0
Episode 282 Step 26: Training Loss 0.06257596611976624, Return 28.0
Episode 283 Step 14: Training Loss 0.0658886581659317, Return 25.0
Episode 284 Step 26: Training Loss 0.068618044257164, Return 15.0
Episode 285 Step 18: Training Loss 0.0635608434677124, Return 25.0
Episode 286 Step 25: Training Loss 0.061771392822265625, Return 24.0
Episode 287 Step 28: Training Loss 0.06447605788707733, Return 24.0
Episode 288 Step 26: Training Loss 0.05866914615035057, Return 24.0
Episode 289 Step 15: Training Loss 0.05488913506269455, Return 40.0
Episode 290 Step 28: Training Loss 0.061938393861055374, Return 28.0
Episode 291 Step 43: Training Loss 0.06499246507883072, Return 29.0
Episode 292 Step 17: Training Loss 0.06211205944418907, Return 25.0
Episode 293 Step 17: Training Loss 0.05627491697669029, Return 35.0
Episode 294 Step 25: Training Loss 0.05562756210565567, Return 43.0
Episode 295 Step 54: Training Loss 0.06087013706564903, Return 27.0
Episode 296 Step 39: Training Loss 0.06580904126167297, Return 28.0
Episode 297 Step 29: Training Loss 0.06523972749710083, Return 45.0
Episode 298 Step 133: Training Loss 0.06053243204951286, Return 42.0
Episode 299 Step 45: Training Loss 0.06176428869366646, Return 295.0
Episode 300 Step 413: Training Loss 0.0628647580742836, Return 335.0
Episode 301 Step 245: Training Loss 0.06127038598060608, Return 303.0
Episode 302 Step 301: Training Loss 0.06023705378174782, Return 364.0
Episode 303 Step 252: Training Loss 0.06148888170719147, Return 254.0
Episode 304 Step 257: Training Loss 0.06195414811372757, Return 279.0
Episode 305 Step 281: Training Loss 0.06051307171583176, Return 307.0
Episode 306 Step 330: Training Loss 0.0628466010093689, Return 319.0
Episode 307 Step 316: Training Loss 0.06625965982675552, Return 291.0
Episode 308 Step 327: Training Loss 0.06777369976043701, Return 338.0
Episode 309 Step 353: Training Loss 0.07297487556934357, Return 417.0
Episode 310 Step 353: Training Loss 0.07434669882059097, Return 370.0
Episode 311 Step 471: Training Loss 0.07702625542879105, Return 321.0
Episode 312 Step 309: Training Loss 0.08346769213676453, Return 318.0
Episode 313 Step 266: Training Loss 0.09575872123241425, Return 361.0
Episode 314 Step 288: Training Loss 0.09304945170879364, Return 320.0
Episode 315 Step 315: Training Loss 0.09220700711011887, Return 286.0
Episode 316 Step 308: Training Loss 0.0979459136724472, Return 312.0
Episode 317 Step 295: Training Loss 0.11715156584978104, Return 330.0
Episode 318 Step 313: Training Loss 0.11670257896184921, Return 286.0
Episode 319 Step 278: Training Loss 0.131356343626976, Return 273.0
Episode 320 Step 255: Training Loss 0.13931810855865479, Return 279.0
Episode 321 Step 244: Training Loss 0.12860625982284546, Return 226.0
Episode 322 Step 277: Training Loss 0.13078927993774414, Return 253.0
Episode 323 Step 246: Training Loss 0.1341070830821991, Return 260.0
Episode 324 Step 234: Training Loss 0.15330006182193756, Return 262.0
Episode 325 Step 240: Training Loss 0.15172351896762848, Return 229.0
Episode 326 Step 226: Training Loss 0.15381856262683868, Return 215.0
Episode 327 Step 219: Training Loss 0.16252188384532928, Return 219.0
Episode 328 Step 232: Training Loss 0.15395388007164001, Return 227.0
Episode 329 Step 236: Training Loss 0.16262932121753693, Return 255.0
Episode 330 Step 244: Training Loss 0.1439274251461029, Return 228.0
Episode 331 Step 227: Training Loss 0.1555139720439911, Return 281.0
Episode 332 Step 258: Training Loss 0.16476869583129883, Return 250.0
Episode 333 Step 226: Training Loss 0.16271193325519562, Return 235.0
Episode 334 Step 255: Training Loss 0.14334701001644135, Return 203.0
Episode 335 Step 229: Training Loss 0.14735570549964905, Return 253.0
Episode 336 Step 215: Training Loss 0.15044747292995453, Return 218.0
Episode 337 Step 230: Training Loss 0.16452059149742126, Return 213.0
Episode 338 Step 211: Training Loss 0.16572639346122742, Return 229.0
Episode 339 Step 222: Training Loss 0.1677493005990982, Return 192.0
Episode 340 Step 217: Training Loss 0.16406896710395813, Return 206.0
Episode 341 Step 220: Training Loss 0.14324598014354706, Return 221.0
Episode 342 Step 219: Training Loss 0.15699610114097595, Return 224.0
Episode 343 Step 203: Training Loss 0.16232912242412567, Return 244.0
Episode 344 Step 199: Training Loss 0.17734460532665253, Return 234.0
Episode 345 Step 219: Training Loss 0.18347011506557465, Return 199.0
Episode 346 Step 196: Training Loss 0.17230655252933502, Return 188.0
Episode 347 Step 217: Training Loss 0.1545729637145996, Return 183.0
Episode 348 Step 216: Training Loss 0.1513490378856659, Return 206.0
Episode 349 Step 199: Training Loss 0.1431637704372406, Return 218.0
Episode 350 Step 215: Training Loss 0.1427350640296936, Return 229.0
Episode 351 Step 211: Training Loss 0.14422990381717682, Return 208.0
Episode 352 Step 200: Training Loss 0.15916338562965393, Return 190.0
Episode 353 Step 228: Training Loss 0.13608886301517487, Return 207.0
Episode 354 Step 221: Training Loss 0.15095467865467072, Return 218.0
Episode 355 Step 206: Training Loss 0.1361079216003418, Return 218.0
Episode 356 Step 217: Training Loss 0.14536821842193604, Return 204.0
Episode 357 Step 214: Training Loss 0.15487514436244965, Return 213.0
Episode 358 Step 217: Training Loss 0.13475829362869263, Return 253.0
Episode 359 Step 212: Training Loss 0.1401601880788803, Return 278.0
Episode 360 Step 207: Training Loss 0.12944519519805908, Return 249.0
Episode 361 Step 219: Training Loss 0.11889287829399109, Return 200.0
Episode 362 Step 156: Training Loss 0.12167347222566605, Return 206.0
Episode 363 Step 186: Training Loss 0.1494426727294922, Return 182.0
Episode 364 Step 207: Training Loss 0.12951520085334778, Return 169.0
Episode 365 Step 246: Training Loss 0.12481933832168579, Return 182.0
Episode 366 Step 187: Training Loss 0.1427580565214157, Return 193.0
Episode 367 Step 206: Training Loss 0.15449877083301544, Return 216.0
Episode 368 Step 195: Training Loss 0.11632832884788513, Return 189.0
Episode 369 Step 208: Training Loss 0.11644209176301956, Return 500.0
Episode 370 Step 206: Training Loss 0.11224789917469025, Return 218.0
Episode 371 Step 188: Training Loss 0.12272991240024567, Return 136.0
Episode 372 Step 186: Training Loss 0.10341332852840424, Return 359.0
Episode 373 Step 225: Training Loss 0.11917164921760559, Return 178.0
Episode 374 Step 355: Training Loss 0.11139807105064392, Return 258.0
Episode 375 Step 202: Training Loss 0.10861855745315552, Return 195.0
Episode 376 Step 207: Training Loss 0.1019197627902031, Return 184.0
Episode 377 Step 234: Training Loss 0.10160496830940247, Return 192.0
Episode 378 Step 223: Training Loss 0.08778988569974899, Return 152.0
Episode 379 Step 206: Training Loss 0.08850414305925369, Return 202.0
Episode 380 Step 254: Training Loss 0.10694517195224762, Return 189.0
Episode 381 Step 219: Training Loss 0.09783964604139328, Return 279.0
