Episode 1 Step 45: Training Loss nan, Return 10.0
Episode 2 Step 14: Training Loss nan, Return 10.0
Episode 3 Step 14: Training Loss nan, Return 10.0
Episode 4 Step 12: Training Loss nan, Return 10.0
Episode 5 Step 13: Training Loss nan, Return 10.0
Episode 6 Step 12: Training Loss nan, Return 10.0
Episode 7 Step 20: Training Loss nan, Return 8.0
Episode 8 Step 25: Training Loss nan, Return 8.0
Episode 9 Step 22: Training Loss nan, Return 9.0
Episode 10 Step 24: Training Loss nan, Return 10.0
Episode 11 Step 14: Training Loss nan, Return 9.0
Episode 12 Step 12: Training Loss nan, Return 9.0
Episode 13 Step 20: Training Loss nan, Return 8.0
D:\assignment4\DQN-CartPole-Cartpole\main.py:74: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at C:\actions-runner\_work\pytorch\pytorch\pytorch\torch\csrc\autograd\generated\python_variable_methods.cpp:837.)
  loss = torch.mean(torch.tensor(losses))
Episode 111 Step 11: Training Loss 0.02585652284324169, Return 9.0
Episode 112 Step 10: Training Loss 0.029040267691016197, Return 10.0
Episode 113 Step 15: Training Loss 0.029412228614091873, Return 9.0
Episode 114 Step 13: Training Loss 0.027078591287136078, Return 10.0
Episode 115 Step 9: Training Loss 0.027290115132927895, Return 8.0
Episode 116 Step 9: Training Loss 0.027252165600657463, Return 11.0
Episode 117 Step 12: Training Loss 0.029084736481308937, Return 9.0
Episode 118 Step 11: Training Loss 0.028980018571019173, Return 10.0
Episode 119 Step 14: Training Loss 0.027561964467167854, Return 9.0
Episode 120 Step 15: Training Loss 0.029077639803290367, Return 9.0
Episode 121 Step 14: Training Loss 0.028321176767349243, Return 14.0
Episode 122 Step 12: Training Loss 0.02925223670899868, Return 9.0
Episode 123 Step 9: Training Loss 0.030008116737008095, Return 10.0
Episode 124 Step 10: Training Loss 0.029414858669042587, Return 9.0
Episode 125 Step 14: Training Loss 0.03172045201063156, Return 13.0
Episode 126 Step 10: Training Loss 0.032983459532260895, Return 10.0
Episode 127 Step 9: Training Loss 0.03315512463450432, Return 9.0
Episode 128 Step 15: Training Loss 0.03084217756986618, Return 12.0
Episode 129 Step 12: Training Loss 0.030786044895648956, Return 10.0
Episode 130 Step 11: Training Loss 0.032105304300785065, Return 11.0
Episode 131 Step 10: Training Loss 0.03213593363761902, Return 10.0
Episode 132 Step 9: Training Loss 0.03048969991505146, Return 11.0
Episode 133 Step 10: Training Loss 0.03151821345090866, Return 9.0
Episode 134 Step 8: Training Loss 0.03231218829751015, Return 12.0
Episode 135 Step 14: Training Loss 0.03181665018200874, Return 11.0
Episode 136 Step 10: Training Loss 0.03460267558693886, Return 12.0
Episode 137 Step 10: Training Loss 0.0345001146197319, Return 13.0
Episode 138 Step 11: Training Loss 0.0316147543489933, Return 10.0
Episode 139 Step 13: Training Loss 0.0351065918803215, Return 14.0
Episode 140 Step 12: Training Loss 0.03557238355278969, Return 12.0
Episode 141 Step 13: Training Loss 0.03433272987604141, Return 10.0
Episode 142 Step 12: Training Loss 0.03482663258910179, Return 9.0
Episode 143 Step 9: Training Loss 0.03376854956150055, Return 13.0
Episode 144 Step 10: Training Loss 0.0380910262465477, Return 8.0
Episode 145 Step 10: Training Loss 0.03619920462369919, Return 10.0
Episode 146 Step 13: Training Loss 0.03440192714333534, Return 12.0
Episode 147 Step 10: Training Loss 0.03430778160691261, Return 9.0
Episode 148 Step 14: Training Loss 0.03261946886777878, Return 12.0
Episode 149 Step 15: Training Loss 0.038399770855903625, Return 10.0
Episode 150 Step 11: Training Loss 0.03630927950143814, Return 15.0
Episode 151 Step 13: Training Loss 0.03801538422703743, Return 11.0
Episode 152 Step 10: Training Loss 0.03743663802742958, Return 12.0
Episode 153 Step 11: Training Loss 0.03902040794491768, Return 13.0
Episode 154 Step 14: Training Loss 0.03599485009908676, Return 13.0
Episode 155 Step 11: Training Loss 0.03666418418288231, Return 11.0
Episode 156 Step 13: Training Loss 0.036964721977710724, Return 14.0
Episode 157 Step 11: Training Loss 0.037917979061603546, Return 11.0
Episode 158 Step 12: Training Loss 0.0376526303589344, Return 12.0
Episode 159 Step 13: Training Loss 0.03928660973906517, Return 13.0
Episode 160 Step 13: Training Loss 0.040598832070827484, Return 14.0
Episode 161 Step 17: Training Loss 0.037836700677871704, Return 12.0
Episode 162 Step 13: Training Loss 0.040140215307474136, Return 8.0
Episode 163 Step 11: Training Loss 0.03992020711302757, Return 10.0
Episode 164 Step 12: Training Loss 0.03696223720908165, Return 13.0
Episode 165 Step 11: Training Loss 0.042603325098752975, Return 15.0
Episode 166 Step 12: Training Loss 0.0383446104824543, Return 11.0
Episode 167 Step 12: Training Loss 0.041241515427827835, Return 11.0
Episode 168 Step 12: Training Loss 0.040773242712020874, Return 9.0
Episode 169 Step 13: Training Loss 0.03886107727885246, Return 13.0
Episode 170 Step 16: Training Loss 0.039941634982824326, Return 13.0
Episode 171 Step 18: Training Loss 0.042148612439632416, Return 16.0
Episode 172 Step 13: Training Loss 0.040748897939920425, Return 16.0
