Episode 1 Step 13: Training Loss nan, Return 8.0
Episode 2 Step 42: Training Loss nan, Return 9.0
Episode 3 Step 19: Training Loss nan, Return 9.0
Episode 4 Step 18: Training Loss nan, Return 9.0
Episode 5 Step 13: Training Loss nan, Return 10.0
Episode 6 Step 28: Training Loss nan, Return 11.0
Episode 7 Step 22: Training Loss nan, Return 9.0
Episode 8 Step 24: Training Loss nan, Return 8.0
Episode 9 Step 15: Training Loss nan, Return 11.0
Episode 10 Step 39: Training Loss nan, Return 10.0
Episode 11 Step 18: Training Loss nan, Return 10.0
Episode 12 Step 30: Training Loss nan, Return 9.0
Episode 13 Step 22: Training Loss nan, Return 10.0
Episode 14 Step 12: Training Loss nan, Return 10.0
Episode 15 Step 13: Training Loss nan, Return 10.0
Episode 16 Step 16: Training Loss nan, Return 9.0
Episode 17 Step 21: Training Loss nan, Return 9.0
Episode 18 Step 17: Training Loss nan, Return 9.0
Episode 19 Step 13: Training Loss nan, Return 9.0
Episode 20 Step 13: Training Loss nan, Return 10.0
Episode 21 Step 51: Training Loss nan, Return 9.0
Episode 22 Step 16: Training Loss nan, Return 10.0
Episode 23 Step 26: Training Loss nan, Return 10.0
D:\assignment4\DQN-CartPole-Cartpole\main.py:77: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at C:\actions-runner\_work\pytorch\pytorch\pytorch\torch\csrc\autograd\generated\python_variable_methods.cpp:837.)
  loss = torch.mean(torch.tensor(losses))
Episode 148 Step 9: Training Loss 0.09611418843269348, Return 9.0
Episode 149 Step 10: Training Loss 0.09465894848108292, Return 10.0
Episode 150 Step 10: Training Loss 0.10138563811779022, Return 11.0
Episode 151 Step 10: Training Loss 0.08922627568244934, Return 10.0
Episode 152 Step 20: Training Loss 0.0948912650346756, Return 10.0
Episode 153 Step 12: Training Loss 0.09381663054227829, Return 11.0
Episode 154 Step 15: Training Loss 0.09451819956302643, Return 9.0
Episode 155 Step 13: Training Loss 0.08688569068908691, Return 8.0
Episode 156 Step 24: Training Loss 0.09252243489027023, Return 9.0
Episode 157 Step 12: Training Loss 0.09511394053697586, Return 11.0
Episode 158 Step 10: Training Loss 0.09310482442378998, Return 10.0
Episode 159 Step 16: Training Loss 0.09092915803194046, Return 10.0
Episode 160 Step 13: Training Loss 0.09574555605649948, Return 9.0
Episode 161 Step 11: Training Loss 0.09699665755033493, Return 10.0
Episode 162 Step 14: Training Loss 0.09139934927225113, Return 9.0
Episode 163 Step 14: Training Loss 0.09996594488620758, Return 9.0
Episode 164 Step 12: Training Loss 0.09149553626775742, Return 10.0
Episode 165 Step 11: Training Loss 0.09618737548589706, Return 9.0
Episode 166 Step 15: Training Loss 0.09792207926511765, Return 9.0
Episode 167 Step 8: Training Loss 0.1062096580862999, Return 11.0
Episode 168 Step 11: Training Loss 0.10463544726371765, Return 11.0
Episode 169 Step 10: Training Loss 0.09812401235103607, Return 11.0
Episode 170 Step 28: Training Loss 0.10123509168624878, Return 10.0
Episode 171 Step 12: Training Loss 0.09790631383657455, Return 11.0
Episode 172 Step 12: Training Loss 0.10223796218633652, Return 9.0
Episode 173 Step 15: Training Loss 0.10607635229825974, Return 11.0
Episode 174 Step 13: Training Loss 0.10209512710571289, Return 9.0
Episode 175 Step 11: Training Loss 0.10141002386808395, Return 9.0
Episode 176 Step 10: Training Loss 0.10427860170602798, Return 9.0
Episode 177 Step 14: Training Loss 0.10727382451295853, Return 8.0
Episode 178 Step 13: Training Loss 0.10744598507881165, Return 9.0
Episode 179 Step 9: Training Loss 0.11073554307222366, Return 9.0
Episode 180 Step 10: Training Loss 0.10393339395523071, Return 10.0
Episode 181 Step 13: Training Loss 0.10419093817472458, Return 10.0
Episode 182 Step 18: Training Loss 0.11019966006278992, Return 9.0
Episode 183 Step 9: Training Loss 0.10489444434642792, Return 10.0
Episode 184 Step 10: Training Loss 0.11078451573848724, Return 10.0
Episode 185 Step 15: Training Loss 0.11241243779659271, Return 9.0
Episode 186 Step 11: Training Loss 0.11452555656433105, Return 10.0
Episode 187 Step 11: Training Loss 0.10448361188173294, Return 10.0
Episode 188 Step 11: Training Loss 0.1143060252070427, Return 10.0
Episode 189 Step 13: Training Loss 0.11365213990211487, Return 10.0
Episode 190 Step 13: Training Loss 0.11326424777507782, Return 9.0
Episode 191 Step 18: Training Loss 0.10948872566223145, Return 11.0
Episode 192 Step 9: Training Loss 0.11261335760354996, Return 10.0
Episode 193 Step 17: Training Loss 0.10807491838932037, Return 9.0
Episode 194 Step 10: Training Loss 0.1189199686050415, Return 9.0
Episode 195 Step 22: Training Loss 0.12365968525409698, Return 8.0
Episode 196 Step 15: Training Loss 0.10888215154409409, Return 8.0
Episode 197 Step 18: Training Loss 0.12042079865932465, Return 9.0
Episode 198 Step 11: Training Loss 0.11940746754407883, Return 11.0
Episode 199 Step 9: Training Loss 0.12682364881038666, Return 10.0
Episode 200 Step 9: Training Loss 0.12762999534606934, Return 8.0
Episode 201 Step 12: Training Loss 0.12444740533828735, Return 9.0
Episode 202 Step 9: Training Loss 0.12769749760627747, Return 11.0
Episode 203 Step 12: Training Loss 0.11702313274145126, Return 10.0
Episode 204 Step 18: Training Loss 0.12093338370323181, Return 9.0
Episode 205 Step 13: Training Loss 0.12455754727125168, Return 11.0
Episode 206 Step 8: Training Loss 0.12632618844509125, Return 10.0
Episode 207 Step 16: Training Loss 0.12893632054328918, Return 9.0
Episode 208 Step 9: Training Loss 0.12377369403839111, Return 8.0
Episode 209 Step 10: Training Loss 0.12156540155410767, Return 11.0
Episode 210 Step 15: Training Loss 0.13299377262592316, Return 10.0
Episode 211 Step 9: Training Loss 0.12789994478225708, Return 11.0
Episode 212 Step 10: Training Loss 0.12454954534769058, Return 9.0
Episode 213 Step 14: Training Loss 0.13279500603675842, Return 10.0
